Event,Source,Register,Issue
IndiaAI Event: ArticlesIn-depth and nuanced coverage of leading trends in AI,IndiaAI,https://indiaai.gov.in/articles,Likely generic domain
IndiaAI Event: VideosThe best of AI brought to you in bite-sized videos,IndiaAI,https://indiaai.gov.in/videos,Likely generic domain
IndiaAI Event: NewsLatest updates on developments in the AI world,IndiaAI,https://indiaai.gov.in/news,Likely generic domain
IndiaAI Event: Case StudiesRead the latest case studies in the field of AI,IndiaAI,https://indiaai.gov.in/case-studies,Likely generic domain
IndiaAI Event: AI StandardsWorld-class policy developments and accepted standards in AI development,IndiaAI,https://indiaai.gov.in/ai-standards,Likely generic domain
IndiaAI Event: LearningA collection of top courses in the field of AI,IndiaAI,https://indiaai.gov.in/learning,Likely generic domain
Google Event: #GenAIAcademy,Google,https://twitter.com/search?q=%23GenAIAcademy,Likely generic domain
NASSCOM Event: Membership Details,NASSCOM,https://nasscom.in/membership,Likely generic domain
Devpost Hackathon: Join a hackathon,Devpost,https://devpost.com/hackathons,Likely generic domain
Devpost Hackathon: DevpostParticipate in our public hackathons,Devpost,https://devpost.com/hackathons,Likely generic domain
Devpost Hackathon: Devpost for TeamsAccess your company's private hackathons,Devpost,https://devpost.team,Likely generic domain
Devpost Hackathon: Host a hackathon,Devpost,https://devpost.com/hackathons,Likely generic domain
"NVIDIA Event: NVIDIA APIsExplore, test, and deploy AI models and agents",NVIDIA,https://build.nvidia.com/,Likely generic domain
Internet Radar: Hugging Face Blog and Model Updates,Hugging Face,https://huggingface.co/blog,Likely generic domain
Internet Radar: Kaggle AI Competitions,Kaggle,https://www.kaggle.com/competitions,Likely generic domain
AI Jobs Radar: AI Engineer Jobs on Naukri,Naukri,https://www.naukri.com/artificial-intelligence-jobs,Likely generic domain
AI Jobs Radar: AI Automation Jobs,Indeed,https://www.indeed.com/jobs?q=AI+Automation,Likely generic domain
AI Sources Hub: Anthropic News and Claude Updates,Anthropic,https://www.anthropic.com/news,Likely generic domain
AI Sources Hub: LangChain Agentic AI Updates,LangChain,https://blog.langchain.dev/,Likely generic domain
AI Sources Hub: CrewAI Agentic AI Platform Updates,CrewAI,https://www.crewai.com/,Likely generic domain
AI Sources Hub: DeepLearning.AI Courses and Events,DeepLearning.AI,https://www.deeplearning.ai/,Likely generic domain
AI Sources Hub: Krish Naik AI YouTube Learning Channel,Krish Naik,https://www.youtube.com/@krishnaik06,Likely generic domain
AI Sources Hub: Matt Wolfe AI Tools YouTube Channel,Matt Wolfe,https://www.youtube.com/@mreflow,Likely generic domain
AI Release Notes Radar: LangChain Release Notes,LangChain,https://changelog.langchain.com/,Likely generic domain
AI News Radar: Anthropic News,Anthropic,https://www.anthropic.com/news,Likely generic domain
AI News Radar: Hugging Face Blog,Hugging Face,https://huggingface.co/blog,Likely generic domain
AI News Radar: LangChain Blog,LangChain,https://blog.langchain.dev/,Likely generic domain
AI News Radar: CrewAI Blog,CrewAI,https://www.crewai.com/blog,Likely generic domain
AI News Radar: IndiaAI Mission Updates,IndiaAI,https://indiaai.gov.in,Generic home page URL
AI News Radar: MeitY AI Announcements,MeitY,https://www.meity.gov.in,Generic home page URL
AI News Radar: Digital India AI Updates,Digital India,https://www.digitalindia.gov.in,Generic home page URL
AI News Radar: Startup India AI and Innovation Updates,Startup India,https://www.startupindia.gov.in,Likely generic domain
AI News Radar: NASSCOM AI Updates,NASSCOM,https://nasscom.in,Generic home page URL
AI News Radar: Analytics India Magazine,AIM,https://analyticsindiamag.com,Likely generic domain
AI News Radar: MachineHack AI Community,MachineHack,https://machinehack.com,Likely generic domain
AI News Radar: Inc42 AI News,Inc42,https://inc42.com/artificial-intelligence,Likely generic domain
AI News Radar: Krish Naik AI Updates,Krish Naik,https://krishnaik.in,Likely generic domain
AI News Radar: Krish Naik YouTube Channel,Krish Naik YouTube,https://www.youtube.com/@krishnaik06,Likely generic domain
AI News Radar: CampusX AI Learning Updates,CampusX,https://www.youtube.com/@campusx-official,Likely generic domain
AI News Radar: Codebasics AI Updates,Codebasics,https://codebasics.io,Likely generic domain
AI News Radar: Codebasics YouTube Channel,Codebasics YouTube,https://www.youtube.com/@codebasics,Likely generic domain
